"Fatal","Day","Lat","Lon","NonUSA","Nonairplane","Phase","Event","Personal","Multiple"
0,114,62.7153,-151.3208,0,0,"LDG","LOC-G",0,0
0,114,61.5597,-149.705,0,0,"TOF","SCF-PP",0,0
0,114,33.9019,-87.3139,0,0,"LDG","LOC-G",0,0
0,114,30.7311,-86.1539,0,0,"LDG","LOC-G",0,0
1,115,34.5828,-82.3525,0,0,"APR","LOC-I",0,0
0,115,38.1978,-121.0767,0,1,"APR","SCF-PP",0,0
0,115,31.6428,-100.9686,0,0,"TOF","LOC-I",0,0
0,115,32.265,-111.1236,0,1,"MNV","Other",0,0
1,115,40.6108,-80.9744,0,0,"MNV","Other",0,0
0,115,36.4794,-77.9236,0,0,"LDG","ARC",0,0
1,116,36.1994,-81.6467,0,0,"ICL","LOC-I",0,0
0,116,26.2381,-80.0917,0,0,"ICL","LOC-I",1,0
0,116,38.1111,-96.1139,0,0,"LDG","LOC-G",1,0
0,116,40.3533,-94.9167,0,0,"LDG","LOC-G",0,0
0,117,30.4164,-87.7003,0,0,"TOF","Other",0,0
0,117,42.2047,1.2453,1,0,"ENR","SCF-NP",1,0
0,118,33.9422,-96.3944,0,0,"LDG","ARC",1,0
0,119,37.6589,-122.1228,0,0,"LDG","ARC",1,0
0,119,38.6414,-95.8025,0,0,"ICL","FUEL",1,0
0,120,60.1872,-154.3517,0,0,"LDG","LOC-I",0,0
0,120,39.9167,-85.8478,0,1,"APR","Other",1,0
0,120,36.0072,-120.8789,0,1,"MNV","Other",1,0
1,121,39.8067,-115.2028,0,0,"MNV","Other",1,0
0,121,40.915,-72.7919,0,0,"LDG","LOC-G",0,0
0,121,33.4756,-84.5594,0,0,"ENR","SCF-PP",1,0
0,121,37.4419,-122.1431,0,0,"LDG","ARC",0,0
0,121,42.8983,-72.2708,0,0,"LDG","LOC-G",0,0
0,121,42.3233,-88.9267,0,0,"APR","Other",0,0
0,121,42.2672,-71.8756,0,0,"LDG","ARC",0,0
0,121,31.0858,-97.6864,0,0,"LDG","ARC",1,0
0,122,43.5644,-116.2194,0,0,"LDG","LOC-G",0,0
0,122,33.0225,-96.8367,0,0,"LDG","LOC-I",0,0
0,122,26.2331,-97.6486,0,0,"LDG","LOC-G",0,0
0,122,36.7319,-97.0997,0,0,"LDG","SCF-NP",0,0
0,123,33.3042,-111.6564,0,0,"LDG","ARC",0,0
1,124,40.8344,-73.4903,0,0,"ENR","LOC-I",0,0
0,124,45.55,-122.4003,0,1,"MNV","Other",1,0
0,124,48.1608,-122.1592,0,1,"STD","LOC-G",0,0
0,124,58.735,-157.0219,0,0,"LDG","SCF-NP",0,0
1,125,44.2133,-87.9603,0,1,"MNV","SCF-PP",1,0
0,125,37.2031,-107.8692,0,0,"LDG","Other",1,0
0,125,30.2244,-93.0003,0,0,"LDG","LOC-G",1,0
0,126,58.48,-134.2089,0,1,"APR","Other",1,0
1,126,34.8383,-92.2544,0,0,"ICL","SCF-PP",1,0
1,126,45.6972,-92.9522,0,1,"ICL","LOC-I",0,0
0,126,34.2736,-83.8314,0,0,"LDG","ARC",0,0
0,126,61.5039,-142.5625,0,0,"MNV","LOC-I",0,0
